period,stateid,stateDescription,sectorid,sectorName,sales,sales-units
2015-01,US,U.S. Total,ALL,all sectors,329666.32027,million kilowatt hours
2015-02,US,U.S. Total,ALL,all sectors,306768.44011,million kilowatt hours
2015-03,US,U.S. Total,ALL,all sectors,305351.76924,million kilowatt hours
2015-04,US,U.S. Total,ALL,all sectors,275475.12077,million kilowatt hours
2015-05,US,U.S. Total,ALL,all sectors,288090.69944,million kilowatt hours
2015-06,US,U.S. Total,ALL,all sectors,326396.89785,million kilowatt hours
2015-07,US,U.S. Total,ALL,all sectors,362938.0669,million kilowatt hours
2015-08,US,U.S. Total,ALL,all sectors,362031.76805,million kilowatt hours
2015-09,US,U.S. Total,ALL,all sectors,332957.87525,million kilowatt hours
2015-10,US,U.S. Total,ALL,all sectors,296055.34617,million kilowatt hours
2015-11,US,U.S. Total,ALL,all sectors,275916.52883,million kilowatt hours
2015-12,US,U.S. Total,ALL,all sectors,297343.55649,million kilowatt hours
2016-01,US,U.S. Total,ALL,all sectors,320890.16476,million kilowatt hours
2016-02,US,U.S. Total,ALL,all sectors,296805.76317,million kilowatt hours
2016-03,US,U.S. Total,ALL,all sectors,285812.35897,million kilowatt hours
2016-04,US,U.S. Total,ALL,all sectors,269531.2373,million kilowatt hours
2016-05,US,U.S. Total,ALL,all sectors,284707.64149,million kilowatt hours
2016-06,US,U.S. Total,ALL,all sectors,329877.90515,million kilowatt hours
2016-07,US,U.S. Total,ALL,all sectors,372172.26806,million kilowatt hours
2016-08,US,U.S. Total,ALL,all sectors,381192.32814,million kilowatt hours
2016-09,US,U.S. Total,ALL,all sectors,336752.08609,million kilowatt hours
2016-10,US,U.S. Total,ALL,all sectors,296680.67052,million kilowatt hours
2016-11,US,U.S. Total,ALL,all sectors,277316.98036,million kilowatt hours
2016-12,US,U.S. Total,ALL,all sectors,310722.22579,million kilowatt hours
2017-01,US,U.S. Total,ALL,all sectors,318177.17905,million kilowatt hours
2017-02,US,U.S. Total,ALL,all sectors,275777.13545,million kilowatt hours
2017-03,US,U.S. Total,ALL,all sectors,291443.63704,million kilowatt hours
2017-04,US,U.S. Total,ALL,all sectors,272801.15774,million kilowatt hours
2017-05,US,U.S. Total,ALL,all sectors,291870.53765,million kilowatt hours
2017-06,US,U.S. Total,ALL,all sectors,328582.61458,million kilowatt hours
2017-07,US,U.S. Total,ALL,all sectors,367613.0216,million kilowatt hours
2017-08,US,U.S. Total,ALL,all sectors,360262.61916,million kilowatt hours
2017-09,US,U.S. Total,ALL,all sectors,321725.81017,million kilowatt hours
2017-10,US,U.S. Total,ALL,all sectors,299539.47902,million kilowatt hours
2017-11,US,U.S. Total,ALL,all sectors,283347.00055,million kilowatt hours
2017-12,US,U.S. Total,ALL,all sectors,312215.78198,million kilowatt hours
2018-01,US,U.S. Total,ALL,all sectors,344477.68735,million kilowatt hours
2018-02,US,U.S. Total,ALL,all sectors,292732.28568,million kilowatt hours
2018-03,US,U.S. Total,ALL,all sectors,296999.30431,million kilowatt hours
2018-04,US,U.S. Total,ALL,all sectors,278467.98771,million kilowatt hours
2018-05,US,U.S. Total,ALL,all sectors,303248.00751,million kilowatt hours
2018-06,US,U.S. Total,ALL,all sectors,338082.98543,million kilowatt hours
2018-07,US,U.S. Total,ALL,all sectors,375023.42713,million kilowatt hours
2018-08,US,U.S. Total,ALL,all sectors,381130.62934,million kilowatt hours
2018-09,US,U.S. Total,ALL,all sectors,337262.54868,million kilowatt hours
2018-10,US,U.S. Total,ALL,all sectors,309113.58697,million kilowatt hours
2018-11,US,U.S. Total,ALL,all sectors,290507.09977,million kilowatt hours
2018-12,US,U.S. Total,ALL,all sectors,312139.71096,million kilowatt hours
2019-01,US,U.S. Total,ALL,all sectors,328609.25104,million kilowatt hours
2019-02,US,U.S. Total,ALL,all sectors,295797.69323,million kilowatt hours
2019-03,US,U.S. Total,ALL,all sectors,301852.69315,million kilowatt hours
2019-04,US,U.S. Total,ALL,all sectors,273899.83766,million kilowatt hours
2019-05,US,U.S. Total,ALL,all sectors,296801.73615,million kilowatt hours
2019-06,US,U.S. Total,ALL,all sectors,321461.60493,million kilowatt hours
2019-07,US,U.S. Total,ALL,all sectors,376094.82072,million kilowatt hours
2019-08,US,U.S. Total,ALL,all sectors,372574.08721,million kilowatt hours
2019-09,US,U.S. Total,ALL,all sectors,340462.80117,million kilowatt hours
2019-10,US,U.S. Total,ALL,all sectors,308241.20549,million kilowatt hours
2019-11,US,U.S. Total,ALL,all sectors,285532.04149,million kilowatt hours
2019-12,US,U.S. Total,ALL,all sectors,309822.6908,million kilowatt hours
2020-01,US,U.S. Total,ALL,all sectors,315532.78974,million kilowatt hours
2020-02,US,U.S. Total,ALL,all sectors,294659.40487,million kilowatt hours
2020-03,US,U.S. Total,ALL,all sectors,289893.78032,million kilowatt hours
2020-04,US,U.S. Total,ALL,all sectors,262400.56179,million kilowatt hours
2020-05,US,U.S. Total,ALL,all sectors,274707.0812,million kilowatt hours
2020-06,US,U.S. Total,ALL,all sectors,320055.72389,million kilowatt hours
2020-07,US,U.S. Total,ALL,all sectors,379530.04105,million kilowatt hours
2020-08,US,U.S. Total,ALL,all sectors,368884.50417,million kilowatt hours
2020-09,US,U.S. Total,ALL,all sectors,322554.51332,million kilowatt hours
2020-10,US,U.S. Total,ALL,all sectors,296876.57754,million kilowatt hours
2020-11,US,U.S. Total,ALL,all sectors,277249.20095,million kilowatt hours
2020-12,US,U.S. Total,ALL,all sectors,315330.30203,million kilowatt hours
2021-01,US,U.S. Total,ALL,all sectors,321496.47552,million kilowatt hours
2021-02,US,U.S. Total,ALL,all sectors,299698.03448,million kilowatt hours
2021-03,US,U.S. Total,ALL,all sectors,295345.00171,million kilowatt hours
2021-04,US,U.S. Total,ALL,all sectors,272778.6964,million kilowatt hours
2021-05,US,U.S. Total,ALL,all sectors,290060.60198,million kilowatt hours
2021-06,US,U.S. Total,ALL,all sectors,338415.38015,million kilowatt hours
2021-07,US,U.S. Total,ALL,all sectors,373948.29907,million kilowatt hours
2021-08,US,U.S. Total,ALL,all sectors,381039.30375,million kilowatt hours
2021-09,US,U.S. Total,ALL,all sectors,336444.01047,million kilowatt hours
2021-10,US,U.S. Total,ALL,all sectors,302127.47063,million kilowatt hours
2021-11,US,U.S. Total,ALL,all sectors,287133.80021,million kilowatt hours
2021-12,US,U.S. Total,ALL,all sectors,307387.1788,million kilowatt hours
2022-01,US,U.S. Total,ALL,all sectors,338656.04633,million kilowatt hours
2022-02,US,U.S. Total,ALL,all sectors,305863.07052,million kilowatt hours
2022-03,US,U.S. Total,ALL,all sectors,304300.02693,million kilowatt hours
2022-04,US,U.S. Total,ALL,all sectors,284932.86674,million kilowatt hours
2022-05,US,U.S. Total,ALL,all sectors,309696.95397,million kilowatt hours
2022-06,US,U.S. Total,ALL,all sectors,347106.33234,million kilowatt hours
2022-07,US,U.S. Total,ALL,all sectors,389214.17473,million kilowatt hours
2022-08,US,U.S. Total,ALL,all sectors,389626.2823,million kilowatt hours
2022-09,US,U.S. Total,ALL,all sectors,340543.84071,million kilowatt hours
2022-10,US,U.S. Total,ALL,all sectors,297195.94414,million kilowatt hours
2022-11,US,U.S. Total,ALL,all sectors,292257.74617,million kilowatt hours
2022-12,US,U.S. Total,ALL,all sectors,327775.78446,million kilowatt hours
2023-01,US,U.S. Total,ALL,all sectors,325414.64493,million kilowatt hours
2023-02,US,U.S. Total,ALL,all sectors,292945.66208,million kilowatt hours
2023-03,US,U.S. Total,ALL,all sectors,306453.94244,million kilowatt hours
2023-04,US,U.S. Total,ALL,all sectors,280811.14791,million kilowatt hours
2023-05,US,U.S. Total,ALL,all sectors,298705.56959,million kilowatt hours
2023-06,US,U.S. Total,ALL,all sectors,328798.08365,million kilowatt hours
2023-07,US,U.S. Total,ALL,all sectors,387256.1072,million kilowatt hours
2023-08,US,U.S. Total,ALL,all sectors,392436.03404,million kilowatt hours
2023-09,US,U.S. Total,ALL,all sectors,346476.44135,million kilowatt hours
2023-10,US,U.S. Total,ALL,all sectors,308065.40868,million kilowatt hours
2023-11,US,U.S. Total,ALL,all sectors,294248.48557,million kilowatt hours
2023-12,US,U.S. Total,ALL,all sectors,312641.83476,million kilowatt hours
2024-01,US,U.S. Total,ALL,all sectors,343716.52172,million kilowatt hours
2024-02,US,U.S. Total,ALL,all sectors,303258.34281,million kilowatt hours
2024-03,US,U.S. Total,ALL,all sectors,297278.27618,million kilowatt hours
2024-04,US,U.S. Total,ALL,all sectors,286256.79709,million kilowatt hours
2024-05,US,U.S. Total,ALL,all sectors,313961.45312,million kilowatt hours
2024-06,US,U.S. Total,ALL,all sectors,355881.96752,million kilowatt hours
2024-07,US,U.S. Total,ALL,all sectors,397872.58566,million kilowatt hours
2024-08,US,U.S. Total,ALL,all sectors,394199.46181,million kilowatt hours
2024-09,US,U.S. Total,ALL,all sectors,343070.70554,million kilowatt hours
2024-10,US,U.S. Total,ALL,all sectors,315901.9817,million kilowatt hours
2024-11,US,U.S. Total,ALL,all sectors,295796.04266,million kilowatt hours
2024-12,US,U.S. Total,ALL,all sectors,328187.69582,million kilowatt hours
2025-01,US,U.S. Total,ALL,all sectors,361981.07068,million kilowatt hours
2025-02,US,U.S. Total,ALL,all sectors,320561.01323,million kilowatt hours
2025-03,US,U.S. Total,ALL,all sectors,307241.25778,million kilowatt hours
2025-04,US,U.S. Total,ALL,all sectors,294846.37543,million kilowatt hours
2025-05,US,U.S. Total,ALL,all sectors,312488.73467,million kilowatt hours
2025-06,US,U.S. Total,ALL,all sectors,357100.3815,million kilowatt hours
2025-07,US,U.S. Total,ALL,all sectors,407629.71481,million kilowatt hours
2025-08,US,U.S. Total,ALL,all sectors,392630.89766,million kilowatt hours
2025-09,US,U.S. Total,ALL,all sectors,346202.16893,million kilowatt hours
2025-10,US,U.S. Total,ALL,all sectors,320588.00988,million kilowatt hours
2025-11,US,U.S. Total,ALL,all sectors,299021.80516,million kilowatt hours
2025-12,US,U.S. Total,ALL,all sectors,337715.72686,million kilowatt hours
2026-01,US,U.S. Total,ALL,all sectors,355940.17295,million kilowatt hours
2026-02,US,U.S. Total,ALL,all sectors,323034.52279,million kilowatt hours
2026-03,US,U.S. Total,ALL,all sectors,314308.22665,million kilowatt hours
